word,meaning
Cyranoid,"אדם שאינו מדבר מפיו את מחשבותיו שלו שנוצרות במערכת העצבים המרכזית, אלא מדבר מפיו את דבריהם של אדם אחר אשר מעביר אליו מחשבות אלה דרך שידור רדיו"
Echoborg,"אדם שנשלט באופן חלקי, או מלא, על ידי רובוט או אינטליגנציה מלאכותית"
Mucilaginous,"של ריר צמחים; רירי, צמיגי"
Mucilage,"ריר צמחים, דבק צמחים"
Demulcent,"מרגיע, משכח"
Roux, (בישול) תערובת של קמח ושומן לעיבוי רוטב או מרק 
Mulatto,כושי מעורב
Quadroon,אדם בעל סב או סבתא כושים (3/4 לבן)
Ocotroon = Terceroon,אדם בעל סב רבא או סבתא רבתא כושים
Griffe,אדם בעל סב או סבתא לבנים (3/4 כושי)
Miscegenation,נישואי תערובת (בין גזעים)
Peon,פועל (העובד לפרעון חוב); עובד יום
Maafa,"השואה האפריקאית: האסון שהמיט האדם הלבן על הכושים עם לקיחתם בכוח מהיבשת אפריקה והפיכתם לעבדים, כולל השפעת ההמשך לאורך ההיסטוריה שנגזרת מהעבדות"
Manorialism,המשק הפיאודלי
Piecemeal,"לאט לאט, בהדרגתיות, חלק חלק"
Cloister,"מנזר; אכסדרה, סטיו"
Quadrangle,"מרובע; חצר מרובעת, רחבה מרובעת"
Paucity,מחסור; צמצום
Mustee,מונח שבא לציין אדם שנולד להורה לבן והורה אינדיאני
Raunch,"המוניות; בוטות מינית; זימה, גסות, ניבול פה "
Gynaeceum,הרמון ביוון העתיקה או רומא
Seraglio = Serail,הרמון
Diminutive,"זעיר, קטן, זערורי; המציין קוטן או קטנות (בדקדוק)/ סיומת או מילת הקטנה (בדקדוק); מילה המציינת גודל קטן (כגון: ""ספרון"", ""דובון"" וכו'); קיצור שם, שם חיבה; אדם קטן מאוד; דבר קטן במיוחד "
Tiptop,"מצוין, מעולה/ מעולה/ ראש הפסגה"
Acme,"שיא, כליל השלמות"
Meridian,"של צהריים/ קו אורך; צהריים; שיא, תקופת שיא"
Noontide,צהריים
Crescendo,"עולה, גובר/ התגברות לשיא, קרשנדו (מוסיקה)"
Remittance,"תשלום, העברת כסף"
to nullify,לבטל; לאיין; לאפס
Mozarab,"מוזערב, נוצרי חצי האי האיברי, אשר חיו תחת השלטון המוסלמי וכן צאצאיהם שחזרו לחיות תחת השלטון הנוצרי"
Marano,"אנוס, יהודי שהתנצר כלפי חוץ אך המשיך לנהוג לפי היהדות בסתר"
Converso,"(בספרדית: ""אחד שהמיר דתו""), מומר, יהודי או מסולמי בספרד שלכאורה התנצרו בתקופת ימי הביניים המאוחרת בכדי להתחמק מגירוש או רדיפה אך המשיכו בחשאי לנהוג על פי דתם ואמונתם "
Mudejar = Morisco,"מוסלמי שנשאר בספרד לאחר שהמדינה נכבשה שוב ע""י הנוצרים (מהמאה ה-11 ועד המאה ה-15)"
Flounce,"אמרה, שפה, פס עיטור; תנועה עצבנית "
Ruche,"סרט קישוט, שנץ"
Supposition,"הנחה, השערה"
Synesthesia,"תחושה הנוצרת באופנות אחת ע""י גירוי מאופנות אחרת, כגון תחושת צבע מסוימת בתגובה על שמיעת צלילים מסוימים"
to cauterize,"לצרוב, לעשות כוויה בברזל לוהט, לחרוך, לכוות; להקשיח; (ברפואה) לצרוב פצע, לטפל על ידי צריבה; להפסיק את הדימום על יד חום"
Rabble rouser,אדם שמלהיט אספסוף זועם
Aporia,"הבעת ספק; קושי תיאורטי, סתירה (ברטוריקה)"
to ambuscade,לארוב; לתקוף ממארב
Luminal,"אורי, של אור"
Fuselage,"גוף המטוס, מבנה המטוס, מרכב"
Normalcy,תקינות; נורמליות
Junta,"חונטה, כת צבאית שלטת; מועצה; מועצה מנהלית; גוף פוליטי (בעיקר בדרום אמריקה) "
Russet,גוון חום זהבהב; סוג בד; סוג תפוח
Tour de force,הישג שהושג בשל מיומנות רבה; הופעה שנעשתה במיומנות עילאית; יצירת מופת; מבצע בעל עוצמה; מעשה גבורה יוצא מן הכלל
Nadir,"נדיר, נקודת האנך; נקודת השפל; הנקודה הנמוכה ביותר; ההיפך מזנית"
Abacus,"חשבונייה, כלי חישוב, אבקוס; החלק העליון ביותר של עמוד (בארכיטקטורה)"
to twine,"לפתל, לשזור"
to castigate,"להעניש, לבקר בחומרה"
Toponym,שם מקום; שם הנגזר ממקום
Pictogram,"איקונין; צלם; פסל; דמות, צורה"
Bibliomania,שגעון לספרים
to rasp,"לשייף, לגרד"
Elegiac,עצוב/ קינה
Didst,עשה (ארכאי)
Oblivescence,"תהליך השכחה, שכחה"
Bearish,"דובי, דמוי דוב; במצב של שוק ""דוב"", כאשר יש ירידת מחירי המניות בבורסה (כלכלה)"
Clove,שן שום; ציפורן (תבלין)
Turmeric,כורכום (תבלין)
Quid pro quo,"גמול, דבר תחת דבר, תמורה שוות ערך"
to haw,להסס בדיבור
Oodles,המון (בעגה); הרבה (בעגה)
Cosmology,חקר היקום
Heartfelt,"עמוק, כן, רציני"
Amaranth,"חיעד, (בשירה:) פרח; ירבוז (סוג) עשב שוטה; ארגמן"
Tuber,פקעת
Bloke,ברנש
AWOL (absent without leave),נפקד (בצבא)
Aphid,כנימה
Mussel,שבלול מאכל
Preemptive,בשל זכות קדימה; של חזקה; של מנע
Haw,שמאלה! (קריאה לבהמת משא)/ עוזרד (סוג פרי)
Sepal,עלה גביע
to behoove,"שומה עליו, חובה עליו"
It behoves someone to do something,מן הראוי שמישהו יעשה משהו
to lampoon,"לחבר כתבי פלסתר, לחבר סאטירות"
Colander,מסננת
Anthology,"מקראה; קובץ; לקט; מבחר ספרותי, אסופה, קובץ מאמרים, אוסף כתבות, אנתולוגיה"
Cetaceans,יונק ימי; לוויתן
Diuretic,משתן/ חומר מעורר השתנה
to underpin,"לתמוך, להוות בסיס ל-"
to waffle,"לקשקש, לדבר שטויות"
Tincture,תמיסה; שמץ
Emetic,"גורם להקאה, מבחיל/ סם הקאה, שיקוי הבחלה "
to germinate,להתפתח; לנבוט; להנביט
to slat,"להכות, לחבוט, לטפח בכוח"
Risqué,"גס, נועז/ (מצרפתית): גס, נועז, לא צנוע"
Wavelet,"גל קטן, אדווה"
Convex,קמור
Frenetic,"מטורף, משתולל, משתגע"
Cabaret,קברט (בית קפה או מסעדה הכוללים גם מופע בידור)
Trismus,צביטת לסתות (ברפואה – עווית בשרירי הלסת) 
Bruxism,חריקת שיניים (בעיקר בזמן שינה)
Halitosis,"באשת, ריח רע מהפה"
Lossy (compression),דחיסה מאבדת נתונים (שיטה לדחוס קבצים שבה איכות הקובץ נפגעת אך נפחו קטן)
Hypotenuse,יתר (במשולש)
Vertex,"שיא, פסגה"
Eschatology,"חקר חזון אחרית הימים, תורת אחרית הימים"
Spliff,"סיגריית מריחואנה גדולה, 'ג'וינט'"
Aficionado,"חסיד נלהב, קנאי"
Progeny,צאצאים; פרי בטן; תוצאה
Organelle,אברון (בתא חי)
Chromatin,"כרומטין, חומר הנמצא בגרעין התא וממנו נוצרים הכרומוזומים בעת חלוקת התא"
to furbish,"לצחצח, להבריק, למרט; לחדש, לרענן"
to undercut,"לערער, להחליש; לקצץ; להוזיל מחירים יותר מ-; לחתוך חתך תחתי"
Credentials,"(ש""ע) כתב-האמנה; מסמכים לאימות כישוריו ויכולותיו של אדם (מכתבי המלצה)/ מכתב המלצה"
Caliber,"קוטר פנים, קליבר, איכות; שיעור-קומה "
Nomenklatura,(בברית המועצות לשעבר) רשימה של משרות ציבוריות שממולאות על ידי חברי מפלגה שלטת
Kleptocracy,ממשלה מושחתת הגובה מסים גבוהים במיוחד מאזרחיה ומנצלת אותם לטובת חבריה
Sounder,גשוש (מכשיר מדידה); מקש (מכשיר טלגרפי); משמיע; עדר של חזירי בר או חזירים מבויתים
Trawl,מכמורת
Homage,"כבוד, הערכה"
Groggy,לא יציב; כושל; חלוש
Tun,"תון, חבית בירה או יין גדולה; מיכל גדול המשמש לתסיסה, מיכל תסיסה; מידה של תכולת נוזלים השווה ל- 955 ליטרים או 252 גלונים (משמשת למדידת כמויות יין); משקל של 2,240 ליברות (1,016 קילוגרם); כמות גדולה בלתי מוגדרת; ארובה (סלנג); שיכור, שתיין (סלנג)"
Mayfly,סוג חרק
to quake,"לרעוד, להתחלחל, לרטוט, להזדעזע"
Lumen,"לומן, יחידת אור; חלל; חלל תא (בבוטניקה)"
Recalcitrant,מרדן; עיקש
Amok,"אמוק, שמטורף, בצורה אחוזת טירוף; בהשתוללות; בצורה מבולבלת, באופן לא מסודר/ אמוק, בצורה מטורפת, בצורה אחוזת טירוף; בהשתוללות; בצורה מבולבלת, באופן לא מסודר/ טירוף; התרוצצות בתאוות רצח, אמוק"
Fanciful,מוזר; דמיוני; לא מציאותי; גחמני
Feckless,"חלש, לא יעיל; לא אחראי, אדיש, עצל"
Statist,אדם התומך בשיטת ממשל ריכוזית
Mayhem,"פגיעה גופנית בזדון, הטלת מום; אי סדר"
Scalar,"(מתמטיקה) משתמשים במילה סקלר כדי לתאר איבר בשדה כלשהו, כאשר עוסקים במרחב וקטורי שמוגדר מעל שדה זה"
Eusocial,"(זואולוגיה, חרק או מעופף) שמפגין תכונות חברתיות (כמו דבורים) בכך שנקבה משריצה צאצא ושאר הנחיל מסייעים בגידולו"
to kowtow,להתרפס
Statute,חוק; תקנון
Infinitesimal,קטן לאין סוף; אינפיניטיסימלי (במתמטיקה)/ משתנה שגבולו אפס (במתמטיקה); כמות מזערית 
Commutative,"חילופי, של חליפין, של החלפה; המרה; של נסיעה הלוך ושוב באופן סדיר (אוטובוס לדוגמה)"
Associative,מתחבר; אסוציאטיבי
Tutelage,"חסות, פטרונות"
Riposte,"תשובה קולעת, מכת נגד"
Effusive,"משתפך, שופע"
Marquee,אוהל גדול; אפיריון
to piddle,"לבצע או לעשות דברים בחוסר זהירות, לתפקד או לפעול ללא סדר; להתבטל, להתמזמז, לבזבז זמן; לעסוק בדברים חסרי ערך; להשתין (בלשון תינוקות) "
Braggadocio,רברבנות
Canny,"זהיר, ערמומי"
Propitious,מתאים; נוח; נעים; מבשר טוב
to ply,לנסוע במסלול קבוע; לעסוק ב-
Peplos,"לבוש לנשים שהיה מונהג ביוון העתיקה, הלבוש היה מכסה את גוף האישה לגמרי"
Tubule,צינורית
Dated,"מיושן, לא בשימוש"
Marjoram,אזובית (צמח)
to doff,להסיר מעיל; להוריד כובע
Diadem,"עטרה, נזר"
Steganography,"הצפנה, אמנות הצפנת הודעה סמויה בתוך הודעה אחרת גדולה יותר; כתב-סתרים, כתיבה או פענוח של קודים סודיים"
to propitiate,לפייס; לרצות; לכפר
to supplicate,"לבקש, להתחנן"
Votive,של קיום נדר; מקודש
Artifice,תחבולה; מומחיות
Expectant,"מקווה, מצפה/ ממתין"
Apace,במהירות
Hempen,של חשיש
Hemp,"קנבוס, חשיש"
Squalid,"מטונף, מזוהם, מלוכלך, דוחה; מוזנח, עלוב, מסכן"
Fillet,"פילה בשר, פילה דג (בבישול); שביס (לקישוט שיער), סרט-שער; חישוק (באדריכלות); ירכי הסוס "
Mitre,"מצנפת, כיסוי ראש רשמי של ההגמון בכנסייה הלטינית; משרת הגמון בכנסייה הלטינית; מצנפת הכוהן הגדול בבית-המקדש; מיטר, זוית ישרה הנוצרת משתי פיסות עץ החתוכות באלכסון כך שיתאימו האחת לשנייה "
Phalanx,פרק אצבע/ גוש חיילים צפוף; קבוצה; פלנגה
Roseate,ורוד; שושני
Postern,אחורי; נחות דרגה; סמוי/ כניסה אחורית; כניסה צדדית
Lambent,"זוהר, מבליח; זוהר ברוך; מרפרף קלות, משחק (אור, אש)"
Lo,הנה! הבט! ראה! (קריאת הפתעה)
Myrtle,הדס
Cymbal,"צלצל, מצילה (אחת מן המצלתיים)"
Votary,"חסיד, מעריץ"
Emulous,"מחקה, שואף, רודף"
Bonhomie,לבביות
Unctuous,חלקלק
Gobbet,"חתיכה; נתח (של בשר, מזון וכו')"
Swain,"מעריץ, מאהב; צעיר, בן כפר"
Respirable,"ראוי לנשימה, שאפשר לנשום"
Myopic,"קצר ראייה, קצר רואי (אופתלמולוגיה); חסר תובנה ומחשבה תחילה"
Biannual,חצי שנתי
Triennial,אירוע תלת שנתי; יובל 3 שנים/ תלת שנתי
Biennial,מאורע דו שנתי; דו שנתי
Hymnal,המנוני/ שיר קודש
to hush,להשתיק; לשתוק
to haunt,"לבקר תדיר, לפקוד (לגבי רוחות רפאים); להציק"
Ilex,כל עץ או שיח ממין צינית; זן של אלון אירופאי עם עלים מבריקים קוצניים 
to stanch,"לעצור,לעצור את הזרימה של נוזל (שטף דם וכו'); לגרום להפסקת דימום בפציעה"
Soporific,חומר מרדים/ מרדים
Obsequy (p.) Obsequies,טקס קבורה; לוויה
Forelock,"בלורית, תלתל מצח"
Askance,"בחוסר אמון, בחשדנות; באלכסון"
Externality,"חיצוניות, תכונה או מצב של היות חיצוני או הפונה לכיוון חוץ; מצב מקרי שעלול להשפיע על תהליך או פעילות; (בפסיכולוגיה) היות מוחצן"
to incent,"לתמרץ, לתת תמריצים"
Sigmoid,"דמוי האות C; דמוי האות S, מעוקל; הנמצא קרוב לעקלתון של המעי הגס (רפואה)"
Flimflammer,"רמאי, נוכל"
Gingiva,חניכיים
to peruse,לקרוא בעיון
to swish,"להשמיע שריקה, לחלוף ברעש"
Athwart,לרוחב; בניגוד/ מצד לצד; לרוחב; בסטייה
to dissemble,להתנכר; להתחפש; להסוות; להעמיד פנים
Monoecious,"אנדרוגיני, דו-מיני, בעל איברי רבייה זכריים ונקביים (באותו האדם או באותו הצמח)"
Mulberry,תות עץ
Enema,חוקן
Braggart,רברבן
Plaudit,תשואות; מחיאות כפיים
Censer,מחתה (כלי לקטורת)
Bon voisinage,שכנות טובה; ידידות
to expunge,למחוק
Contraction,"התכווצות, עווית; קיצור, צמצום, הצטמצמות; מילה או ביטוי מקוצרים אשר מכילים גרש (אפוסטרופי) במקום אותיות חסרות (למשל she's)"
Foray,"פשיטה, הסתערות"
Pinnate,(עלה) מנוצה; נוצתי
Swidden,בירוא או שריפה של צמחיית בר לטובת עיבוד של האדמה/ חלקת אדמה שעברה בירוא או שריפה למטרת עיבודה
Thalassocracy,"שליטה של חיל הים, שליטה על ידי כוח ימי"
Indemnity,פיצוי; שיפוי
Figurehead,"שליט בובה, מנהל נטול סמכות; פסלון בחרטום אנייה "
Numismatic,"נומיסמטי, של מטבעות; של תורת המטבעות; של או הקשור לכסף"
Hyperinflation,אינפלציה גבוהה מאוד
Immoderate,"מופרז, מוגזם, קיצוני; לא מתון"
to scull,"לחתור, לשוט בסירת משוטים"
Astringent,"מחמיר, קפדן; חמור; מכווץ (את העור)/ חומר מכווץ; חומר העוצר דימום; (בקוסמטיקה) חומר המכווץ את העור והסיר שמנים מהעור"
Tannin,"חומר לעיבוד עורות, טאנין"
Rivulet,"נחל קטן, פלג"
Clarion,קול רם (כמו של חצוצרה); סוג של חצוצרה עתיקה מתקופת הביניים; צליל של חצוצרה עתיקה
Rowan,"סורבוס, עץ אירואסיאתי המניב פרי אדום-כתום הדומה לגרגרים "
Vestibule,פרוזדור
Hourglass,שעון חול
Scull,סירת משוטים; משוט; חתירה 
to exfoliate,להשיר; לנשור; להשיר עור
Scrooge,קמצן
Gonad,בלוטת המין
Flicker,"הבהוב (גם במחשבים), הבלחה; זיק, ניצוץ; עפעוף; (במחשבים) הבהוב, רפרוף, אי יציבות של התמונה בצג "
Staffer,איש סגל; חבר מערכת (עיתון)
